Rank,School,Conference,Division,Total,Pl.,Pts.,Pl.,Pts.,Pl.,Pts.,Pl.,Pts.,Pl.,Pts.,Pl.,Pts.,Pl.,Pts.,Pl.,Pts.,Pl.,Pts.,Pl.,Pts.,Pl.,Pts.,Pl.,Pts.,Pl.,Pts.,Pl.,Pts.,Total,Total,Total
49,Nebraska,Big Ten,FBS,516.5,0,0,0,0,0,0,0,0,0,0,0,0,33,37.5,0,0,0,0,14,61.5,59,13,0,0,0,0,0,0,112,314.5,90
52,Illinois,Big Ten,FBS,500,0,0,49,22.5,31,39.5,0,0,0,0,0,0,49,25,0,0,0,0,0,0,59,13,0,0,0,0,0,0,100,280,120
53,Purdue,Big Ten,FBS,476.75,0,0,12,64.5,39,33.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,98,210.75,168
55,Iowa,Big Ten,FBS,450.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39,32.5,0,0,0,0,0,0,32.5,296.75,121
64,Indiana,Big Ten,FBS,358,0,0,0,0,67,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,289,64
92,Hawaii,Big West,FBS,205,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,100,0,0,9,25,125,25,55
131,UC Irvine,Big West,DI,135,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33,25,0,0,0,0,0,0,5,60,0,0,85,0,50
146,Long Beach State,Big West,DI,115,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,90,0,0,0,0,90,0,25
148,UC Santa Barbara,Big West,DI,112.5,33,37.5,0,0,0,0,0,0,0,0,0,0,0,0,17,50,0,0,0,0,0,0,0,0,0,0,0,0,87.5,0,25
173,Cal Poly,Big West,FCS,93.5,0,0,55,16.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,25,41.5,52,0
178,UC Davis,Big West,FCS,90.5,0,0,0,0,61,10.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.5,0,80
213,Cal State Fullerton,Big West,DI,62.5,0,0,0,0,0,0,0,0,0,0,0,0,33,37.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,37.5,25,0
228,UC San Diego,Big West,DI,51,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,51,0
293,Cal State Bakersfield,Big West,DI,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,0
104,Delaware,CAA,FCS,173,0,0,0,0,0,0,0,0,5,70,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,70,50,53
119,Northeastern,CAA,DI,142,0,0,0,0,0,0,0,0,0,0,20,34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34,108,0
123,Hofstra,CAA,DI,139,49,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,0,114
126,James Madison,CAA,FCS,136,0,0,0,0,0,0,9,53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,53,0,83
167,Towson,CAA,FCS,98,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,73,25
211,Drexel,CAA,DI,66,0,0,0,0,0,0,17,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,41,0
214,College of Charleston,CAA,DI,60.5,0,0,55,16.5,30,44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,60.5,0,0
229,North Carolina Wilmington,CAA,DI,50,0,0,0,0,0,0,0,0,0,0,0,0,49,25,0,0,33,25,0,0,0,0,0,0,0,0,0,0,50,0,0
266,William & Mary,CAA,FCS,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33,25,0,0,0,0,0,0,0,0,0,0,0,0,25,0,0
98,Middle Tennessee State,Conference USA,FBS,189.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,50,25,47,0,0,0,0,0,0,0,0,97,47.5,45
102,Rice,Conference USA,FBS,179.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30,41.5,0,0,0,0,0,0,0,0,41.5,16,122
121,FIU,Conference USA,FBS,140.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33,25,0,0,41,31.5,0,0,0,0,0,0,0,0,56.5,34,50
134,Western Kentucky,Conference USA,FBS,130,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35,95
155,Southern Mississippi,Conference USA,FBS,107,9,64,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,64,43,0
159,Charlotte,Conference USA,FBS,103.5,0,0,0,0,56,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,64,8.5,0,0,0,0,0,0,24.5,25,54
163,Old Dominion,Conference USA,FBS,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,50,0,0,0,0,0,0,0,0,0,0,0,0,50,0,50
168,Louisiana Tech,Conference USA,FBS,97.5,33,37.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,37.5,60,0
177,North Texas,Conference USA,FBS,91.5,0,0,55,16.5,0,0,0,0,0,0,0,0,17,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,66.5,0,25
181,UTSA,Conference USA,FBS,88,0,0,31,40.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40.5,22.5,25
196,Marshall,Conference USA,FBS,75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,75
196,UAB,Conference USA,FBS,75,0,0,0,0,73,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,25,45
216,FAU,Conference USA,FBS,60,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,60,60,0,0
255,UTEP,Conference USA,FBS,33.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,64,8.5,0,0,0,0,0,0,8.5,0,25
176,Youngstown State,Horizon League,FCS,92.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33,25,33,25,0,0,0,0,0,0,0,0,0,0,50,42.5,0
205,Wright State,Horizon League,DI,72,49,25,0,0,49,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,47,25,0
221,Oakland,Horizon League,DI,55,0,0,67,5,0,0,0,0,0,0,0,0,49,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30,0,25
229,Wisconsin Milwaukee,Horizon League,DI,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50
258,Wisconsin Green Bay,Horizon League,DI,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30,0
266,Illinois Chicago,Horizon League,DI,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25
266,IUPUI,Horizon League,DI,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,0
266,Robert Morris,Horizon League,FCS,25,0,0,0,0,0,0,0,0,17,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,0,0
293,Cleveland State,Horizon LeagueDI,,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,0
18,Princeton,Ivy League,FCS,868.25,0,0,31,40.5,0,0,9,53,3,83,3,85,49,x,17,50,33,x,49,x,7,72,7,x,0,0,0,0,383.5,306.75,178
39,Harvard,Ivy League,FCS,615,0,0,0,0,0,0,0,0,9,53,0,0,0,0,0,0,17,50,0,0,0,0,0,0,0,0,0,0,103,290.5,221.5
56,Yale,Ivy League,FCS,434.5,0,0,0,0,73,5,0,0,5,70,5,75,0,0,0,0,0,0,30,41.5,0,0,0,0,0,0,0,0,191.5,216,27
60,Pennsylvania,Ivy League,FCS,406.5,0,0,0,0,0,0,0,0,5,70,11,57,0,0,0,0,33,25,0,0,30,41.5,0,0,0,0,0,0,193.5,213,0
75,Columbia,Ivy League,FCS,283.5,17,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,50,0,0,0,0,0,0,0,0,0,0,100,154.5,29
83,Cornell,Ivy League,FCS,237.5,0,0,0,0,0,0,0,0,2,90,0,0,0,0,0,0,0,0,45,27.5,0,0,0,0,0,0,0,0,117.5,120,0
95,Brown,Ivy League,FCS,198,0,0,0,0,0,0,0,0,9,53,7,69,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,122,26,50
218,Dartmouth,Ivy League,FCS,57,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,57,0
114,Quinnipiac,MAAC,DI,150,0,0,67,5,0,0,0,0,0,0,0,0,0,0,33,25,0,0,0,0,0,0,0,0,0,0,0,0,30,120,0
163,Fairfield,MAAC,DI,100,0,0,0,0,0,0,17,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,25,50
204,Saint Peter's,MAAC,DI,73,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,73,0
229,Canisius,MAAC,DI,50,49,25,0,0,0,0,0,0,0,0,0,0,49,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50,0,0
